SN,Polymer_SMILES,Solvent_SMILES,Activities,logD,liquid_density_solvent,MW_rdkit,log10MV,log10(mmol_solvent/g_Polymer)
56.0,CC(=CC[*])C[*],c1ccccc1,0.0,-7.087286941,0.873,78.114,1.951714634,2.24165471
57.0,CC(=CC[*])C[*],c1ccccc1,1.0,-6.242328053,0.873,78.114,1.951714634,-1.209451755
57.0,CC(=CC[*])C[*],c1ccccc1,1.0,-6.242328053,0.873,78.114,1.951714634,-0.986521609
57.0,CC(=CC[*])C[*],c1ccccc1,1.0,-6.242328053,0.873,78.114,1.951714634,-0.773126896
57.0,CC(=CC[*])C[*],c1ccccc1,1.0,-6.242328053,0.873,78.114,1.951714634,-0.478202177
57.0,CC(=CC[*])C[*],c1ccccc1,1.0,-6.242328053,0.873,78.114,1.951714634,-0.328728635
57.0,CC(=CC[*])C[*],c1ccccc1,1.0,-6.242328053,0.873,78.114,1.951714634,-0.224811634
57.0,CC(=CC[*])C[*],c1ccccc1,1.0,-6.242328053,0.873,78.114,1.951714634,-0.133699836
57.0,CC(=CC[*])C[*],c1ccccc1,1.0,-6.242328053,0.873,78.114,1.951714634,0.167319107
57.0,CC(=CC[*])C[*],c1ccccc1,1.0,-6.242328053,0.873,78.114,1.951714634,0.360950215
57.0,CC(=CC[*])C[*],c1ccccc1,1.0,-6.242328053,0.873,78.114,1.951714634,0.510530412
57.0,CC(=CC[*])C[*],c1ccccc1,1.0,-6.242328053,0.873,78.114,1.951714634,0.646383684
57.0,CC(=CC[*])C[*],c1ccccc1,1.0,-6.242328053,0.873,78.114,1.951714634,0.759361846
57.0,CC(=CC[*])C[*],c1ccccc1,1.0,-6.242328053,0.873,78.114,1.951714634,0.849724889
57.0,CC(=CC[*])C[*],c1ccccc1,1.0,-6.242328053,0.873,78.114,1.951714634,0.947305706
57.0,CC(=CC[*])C[*],c1ccccc1,1.0,-6.242328053,0.873,78.114,1.951714634,1.209874064
57.0,CC(=CC[*])C[*],c1ccccc1,1.0,-6.242328053,0.873,78.114,1.951714634,1.294737041
57.0,CC(=CC[*])C[*],c1ccccc1,1.0,-6.242328053,0.873,78.114,1.951714634,1.39715835
57.0,CC(=CC[*])C[*],c1ccccc1,1.0,-6.242328053,0.873,78.114,1.951714634,1.502846949
57.0,CC(=CC[*])C[*],c1ccccc1,1.0,-6.242328053,0.873,78.114,1.951714634,1.578113243
57.0,CC(=CC[*])C[*],c1ccccc1,1.0,-6.242328053,0.873,78.114,1.951714634,1.685822256
57.0,CC(=CC[*])C[*],c1ccccc1,1.0,-6.242328053,0.873,78.114,1.951714634,1.895690637
57.0,CC(=CC[*])C[*],c1ccccc1,1.0,-6.242328053,0.873,78.114,1.951714634,1.790741959
57.0,CC(=CC[*])C[*],c1ccccc1,1.0,-6.242328053,0.873,78.114,1.951714634,2.215456612
57.0,CC(=CC[*])C[*],c1ccccc1,1.0,-6.242328053,0.873,78.114,1.951714634,2.24165471
58.0,CC(=O)OC([*])CC(COC(=O))C[*],c1ccccc1,0.26040144,-11.4621809,0.873,78.114,1.951714634,
59.0,CC(=O)OC([*])CC(COC(=O))C[*],c1ccccc1,0.381433416,-10.23507702,0.873,78.114,1.951714634,
60.0,CC(=O)OC([*])CC(COC(=O))C[*],c1ccccc1,0.439208854,-9.612610174,0.873,78.114,1.951714634,
61.0,CC(=O)OC([*])CC(COC(=O))C[*],c1ccccc1,0.487643728,-9.128427064,0.873,78.114,1.951714634,
62.0,CC(=O)OC([*])CC(COC(=O))C[*],c1ccccc1,0.556558543,-8.832682665,0.873,78.114,1.951714634,
63.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.06,-9.721246399,0.782,41.053,1.720138146,0.159741532
63.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.06,-9.721246399,0.782,41.053,1.720138146,0.159741532
63.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.06,-9.721246399,0.782,41.053,1.720138146,0.159741532
63.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.06,-9.721246399,0.782,41.053,1.720138146,0.16628333
63.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.06,-9.721246399,0.782,41.053,1.720138146,0.153842705
64.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.1,-9.537602002,0.782,41.053,1.720138146,0.159741532
64.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.1,-9.537602002,0.782,41.053,1.720138146,0.159741532
64.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.1,-9.537602002,0.782,41.053,1.720138146,0.159741532
64.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.1,-9.537602002,0.782,41.053,1.720138146,0.16628333
64.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.1,-9.537602002,0.782,41.053,1.720138146,0.153842705
65.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.15,-9.337242168,0.782,41.053,1.720138146,0.159741532
65.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.15,-9.337242168,0.782,41.053,1.720138146,0.159741532
65.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.15,-9.337242168,0.782,41.053,1.720138146,0.159741532
65.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.15,-9.337242168,0.782,41.053,1.720138146,0.16628333
65.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.15,-9.337242168,0.782,41.053,1.720138146,0.153842705
66.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.2,-9.187086643,0.782,41.053,1.720138146,0.159741532
66.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.2,-9.187086643,0.782,41.053,1.720138146,0.159741532
66.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.2,-9.187086643,0.782,41.053,1.720138146,0.159741532
66.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.2,-9.187086643,0.782,41.053,1.720138146,0.16628333
66.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.2,-9.187086643,0.782,41.053,1.720138146,0.153842705
67.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.25,-9.13076828,0.782,41.053,1.720138146,0.159741532
67.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.25,-9.13076828,0.782,41.053,1.720138146,0.159741532
67.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.25,-9.13076828,0.782,41.053,1.720138146,0.159741532
67.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.25,-9.13076828,0.782,41.053,1.720138146,0.16628333
67.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.25,-9.13076828,0.782,41.053,1.720138146,0.153842705
68.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC(C)=O,0.350851185,-7.037630664,0.784,58.08,1.869710545,
69.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC(C)=O,0.352968999,-7.030243655,0.784,58.08,1.869710545,
70.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC(C)=O,0.421797953,-6.802424204,0.784,58.08,1.869710545,
71.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC(C)=O,0.423562798,-6.684029655,0.784,58.08,1.869710545,
72.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC(C)=O,0.426739519,-6.728158393,0.784,58.08,1.869710545,
73.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC(C)=O,0.428504364,-6.769551079,0.784,58.08,1.869710545,
74.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC(C)=O,0.491332846,-6.552841969,0.784,58.08,1.869710545,
75.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC(C)=O,0.494156598,-6.420651434,0.784,58.08,1.869710545,
76.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC(C)=O,0.495921443,-6.614393726,0.784,58.08,1.869710545,
77.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC(C)=O,0.561220708,-6.394694954,0.784,58.08,1.869710545,
78.0,CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC(C)=O,0.562279615,-6.414777352,0.784,58.08,1.869710545,
79.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.1387036,-9.705533774,0.784,58.08,1.869710545,0.749743953
79.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.1387036,-9.705533774,0.784,58.08,1.869710545,0.919045857
79.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.1387036,-9.705533774,0.784,58.08,1.869710545,1.024732518
79.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.1387036,-9.705533774,0.784,58.08,1.869710545,1.176021673
79.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.1387036,-9.705533774,0.784,58.08,1.869710545,1.267368504
79.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.1387036,-9.705533774,0.784,58.08,1.869710545,1.376112584
79.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.1387036,-9.705533774,0.784,58.08,1.869710545,1.535381823
79.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.1387036,-9.705533774,0.784,58.08,1.869710545,1.614790933
80.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.30138051,-9.510041521,0.784,58.08,1.869710545,0.749743953
80.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.30138051,-9.510041521,0.784,58.08,1.869710545,0.919045857
80.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.30138051,-9.510041521,0.784,58.08,1.869710545,1.024732518
80.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.30138051,-9.510041521,0.784,58.08,1.869710545,1.176021673
80.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.30138051,-9.510041521,0.784,58.08,1.869710545,1.267368504
80.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.30138051,-9.510041521,0.784,58.08,1.869710545,1.376112584
80.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.30138051,-9.510041521,0.784,58.08,1.869710545,1.535381823
80.0,CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.30138051,-9.510041521,0.784,58.08,1.869710545,1.614790933
