SN,Polymer_SMILES,Solvent_SMILES,Activities,logD,liquid_density_solvent,MW_rdkit,log10MV,Valid_SMILES,Tg,FFV,Tc,Density,Rg
29,CC(=CC[*])C[*],CCOC(=O)CC(C)=O,1.0,-6.946921557,1.021,130.143,2.105395072,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
30,CC(=CC[*])C[*],CCOC(=O)OCC,1.0,-6.068542129,0.97,118.132,2.085595822,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
31,CC(=CC[*])C[*],CCOC(C)=O,1.0,-6.154626367,0.894,88.106,1.993667966,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
32,CC(=CC[*])C[*],CCc1ccccc1,1.0,-6.453289157,0.865,106.168,2.088977529,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
33,CC(=CC[*])C[*],CO,1.0,-7.838631998,0.787,32.042,1.609744884,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
34,CC(=CC[*])C[*],COC(=O)CC(C)=O,1.0,-6.962573502,1.072,116.116,2.034697281,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
35,CC(=CC[*])C[*],COC(=O)c1ccccc1O,1.0,-7.086186148,1.175,152.149,2.112231236,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
36,CC(=CC[*])C[*],COC(C)=O,1.0,-6.164943898,0.927,74.079,1.902615377,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
37,CC(=CC[*])C[*],Cc1ccc(O)cc1,1.0,-8.013228266,1.02,108.14,2.025386193,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
38,CC(=CC[*])C[*],Cc1cccc(C)c1,1.0,-6.15739076,0.861,106.168,2.090990485,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
39,CC(=CC[*])C[*],Cc1ccccc1,1.0,-5.71965701,0.865,92.141,2.027436814,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
40,CC(=CC[*])C[*],Cc1ccccc1C,1.0,-6.539677499,0.876,106.168,2.08348953,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
41,CC(=CC[*])C[*],ClC(Cl)(Cl)Cl,1.0,-5.92748575,1.583,153.823,1.987540362,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
42,CC(=CC[*])C[*],ClC(Cl)=C(Cl)Cl,1.0,-5.482804102,1.6,165.834,2.015553594,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
43,CC(=CC[*])C[*],ClC(Cl)C(Cl)Cl,1.0,-6.463441557,1.6,167.85,2.020801363,True,65.78697137776766,0.404634954332672,0.2248168377296329,0.8015730972700291,16.48548623572851
