ID,Name,Polymer_SMILES,Monomer_SMILES_1,Monomer_SMILES_2,Egc,Egb,Eib,CED,Ei,Eea,nc,ne,Xc,Xe,epse_6.0,epsc,epse_3.0,epse_1.78,epse_15.0,epse_4.0,epse_5.0,epse_2.0,epse_9.0,epse_7.0,epsb,TSb,TSy,YM,permCH4,permCO2,permH2,permO2,permN2,permHe,Cp,Td,Tg,Tm,rho,LOI,SELFIES
P070038,poly(p-chlorophenyl glycidyl ether),Clc1ccc(OCC(C*)O*)cc1,Clc1ccc(OCC2CO2)cc1,,4.91656,4.604874,4.060828,92.24814,6.0924935,1.0299991,1.7871872,1.5393376,46.582157,41.28091,2.9563298,3.6761029,3.13385,3.2636955,2.413431,3.0695252,3.015099,3.238506,2.7374625,2.8829906,27.404911,24.937935,33.98231,987.3052,0.7337674,4.600155,9.975739,1.5855122,0.57353324,10.163874,1.3344167,615.9789,334.54602,476.31256,1.2698299,29.414001,
P070039,"poly(2,4,6-trichlorophenyl glycidyl ether)",Clc1cc(Cl)c(OCC(C*)O*)c(Cl)c1,Clc1cc(Cl)c(OCC2CO2)c(Cl)c1,,4.8006635,4.3739157,3.8727725,96.60591,6.2015023,1.2600839,1.8308468,1.5598905,52.542175,45.540295,3.018881,3.9534624,3.252046,3.435474,2.4402125,3.1603608,3.0930517,3.3999681,2.7808385,2.9350975,10.284208,17.63594,31.5578,885.9321,0.58796716,5.749613,14.363361,2.0100958,0.573339,14.365747,1.2903253,675.5956,384.4187,540.9397,1.4314109,37.40017,
P070041,poly[(1-naphthyl) glycidyl ether],*CC(COc1cccc2ccccc12)O*,C(Oc1cccc2ccccc12)C1CO1,,4.181087,3.9050066,3.962788,98.062454,5.559607,1.3181787,1.8176609,1.5616523,29.68097,29.155201,2.9911592,3.7641537,3.166762,3.3226948,2.4846044,3.099001,3.0410326,3.2880394,2.795578,2.926312,6.0694876,46.741955,52.05801,1634.3945,0.5301769,2.5231419,5.20607,0.86672735,0.38281584,6.3677692,1.2024435,627.5947,360.76288,468.66974,1.2060366,25.077566,
P070042,poly[(2-naphthyl) glycidyl ether],*CC(COc1ccc2ccccc2c1)O*,C(Oc1ccc2ccccc2c1)C1CO1,,4.2336526,3.9612827,3.970228,97.18233,5.5835743,1.2823532,1.8330117,1.5715096,30.634825,29.830166,3.0597603,3.820179,3.2458854,3.4084356,2.51289,3.176557,3.1141627,3.3708444,2.8511093,2.992041,6.765272,47.889675,53.07822,1650.2177,0.41956544,2.7323093,4.875946,0.7704916,0.30427885,5.713188,1.2033436,620.61426,364.37054,474.4697,1.2149665,25.398237,
P070043,poly(o-isopropylphenyl glycidyl ether),CC(C)c1ccccc1OCC(C*)O*,CC(C)c1ccccc1OCC1CO1,,4.9586444,4.873582,4.176645,92.06628,6.0856943,1.0279405,1.7675023,1.5309156,27.15913,29.08263,2.999854,3.724989,3.2173924,3.3308856,2.4148386,3.147519,3.07747,3.310718,2.7523174,2.91455,16.533417,27.24261,33.540497,933.1958,6.51309,44.71103,50.684948,12.0506735,4.338257,38.2762,1.3705578,583.41064,326.2024,424.5564,1.0419662,19.845821,
P070044,"poly(2-{[(1,1,1,3,3,3-hexafluoropropan-2-yl)oxy]methyl}-2-phenyloxirane)",FC(F)(F)C(OCC(C*)(O*)c1ccccc1)C(F)(F)F,FC(F)(F)C(OCC1(CO1)c1ccccc1)C(F)(F)F,,5.664828,5.546885,4.1278486,100.104034,6.9371233,1.1113605,1.6051725,1.4228333,48.478485,45.5333,2.4024513,3.17655,2.545899,2.6081276,2.162756,2.4922996,2.4477038,2.5940852,2.2750087,2.348019,23.956526,40.564106,41.342506,1200.4412,14.799657,193.54633,218.94853,43.27826,12.920917,167.33365,1.4320744,576.61163,303.2464,422.15588,1.3935121,32.879486,
P070045,poly(2-{[m-(trifluoromethyl)phenoxy]methyl}oxirane),FC(F)(F)c1cccc(OCC(C*)O*)c1,FC(F)(F)c1cccc(OCC2CO2)c1,,5.0497837,4.7075744,3.9374592,106.083565,6.5647535,1.493611,1.7730328,1.5390182,50.812836,46.97741,2.9568672,3.7937639,3.2137196,3.3792286,2.3491044,3.125408,3.0415301,3.339162,2.695444,2.8704352,35.772045,43.204403,43.786068,1285.7212,2.1355033,14.8024645,25.21754,4.832555,1.7739265,25.755348,1.4513705,606.17554,313.77118,419.81216,1.3004111,30.314638,
P070046,"poly(2-{[(1,1,1,3,3,3-hexafluoropropan-2-yl)oxy]methyl}-2-[m-(trifluoromethyl)phenyl]oxirane)",FC(F)(F)C(OCC(C*)(O*)c1cccc(c1)C(F)(F)F)C(F)(F)F,FC(F)(F)C(OCC1(CO1)c1cccc(c1)C(F)(F)F)C(F)(F)F,,5.370034,5.2736063,4.0654893,113.82015,6.9044514,1.4593525,1.5572586,1.3877182,54.388405,51.42244,2.187941,2.961981,2.2366242,2.2489576,2.1002393,2.2226892,2.2047482,2.2441168,2.138281,2.1607976,22.444817,46.784294,45.740814,1305.26,24.947681,384.62973,449.60593,82.3105,22.833279,334.8888,1.4894285,600.3322,330.3991,439.13358,1.489407,38.263355,
P070048,"poly(2-{[(1,1,1,3,3,3-hexafluoropropan-2-yl)oxy]methyl}-2-(pentafluorophenyl)oxirane)",Fc1c(F)c(F)c(c(F)c1F)C(C*)(COC(C(F)(F)F)C(F)(F)F)O*,Fc1c(F)c(F)c(c(F)c1F)C1(COC(C(F)(F)F)C(F)(F)F)CO1,,4.6012774,4.30478,3.6456378,126.794846,6.693436,1.974747,1.5511527,1.3774407,67.32132,61.37728,2.1384394,2.9743843,2.1514616,2.141068,2.0988483,2.144166,2.1442642,2.1408467,2.1107588,2.1199112,9.760868,54.702393,49.495163,1447.7778,23.947622,396.5752,476.9592,84.08548,22.715721,359.81732,1.5565858,611.3032,417.02582,524.9451,1.6512506,49.054737,
P070050,poly(2-butene oxide),CC(*)C(C)O*,CC1OC1C,,6.0204315,6.188444,4.486381,79.533966,6.700538,0.49892366,1.6379089,1.4437492,23.198286,27.494999,2.566566,3.3225331,2.7341232,2.7873712,2.225471,2.6821928,2.625321,2.7769985,2.3966613,2.4973664,20.791847,11.367256,13.638809,443.48303,31.226156,354.1186,348.17953,77.41006,23.793425,225.06885,1.4202454,577.0185,309.84805,410.81427,0.9954198,18.499561,
